2012 HDI Rank,Name,Type,Country Code,2012 Population,2012 Population Note,2030 Population,2030 Population note,2000/2005 Annual Population Growth,2000/2005 Annual Population Growth Note,2010/2015 Annual Population Growth,2010/2015 Annual Population Growth Note,2000 Urban Population,2000 Urban Population Note,2012 Urban Population,2012 Urban Population Note,2000 Median Age,2000 Median Age Note,2010 Median Age,2010 Median Age Note,2000 Total Dependency Ratio,2000 Total Dependency Ratio Note,2012 Total Dependency Ratio,2012 Total Dependency Ratio Note,2000 Total Fertility Rate,2000 Total Fertility Rate Note,2012 Total Fertility Rate,2012 Total Fertility Rate Note,2000 Sex ratio at birth,2000 Sex ratio at birth Note,2012 sex ratio at birth,2012 sex ratio at birth note
1,Norway,Ranked Country,NOR,5,e,5.6,e,0.6,e,0.7,e,76.1,,79.7,,36.9,,38.7,,54.2,,51.5,,1.8,,2,,1.05,,1.06,
2,Australia,Ranked Country,AUS,22.9,f,27.8,f,1.3,f,1.3,f,87.2,,89.4,,35.4,,36.9,,49.6,,49.3,,1.7,,2,,1.06,,1.06,
3,United States,Ranked Country,USA,315.8,,361.7,,1,,0.9,,79.1,,82.6,,35.3,,36.9,,51,,50.7,,2,,2.1,,1.05,,1.05,
4,Netherlands,Ranked Country,NLD,16.7,,17.3,,0.6,,0.3,,76.8,,83.6,,37.3,,40.7,,47.3,,50.6,,1.7,,1.8,,1.06,,1.06,
5,Germany,Ranked Country,DEU,82,,79.5,,0,,-0.2,,73.1,,74.1,,39.9,,44.3,,47,,51.7,,1.3,,1.4,,1.06,,1.06,
6,New Zealand,Ranked Country,NZL,4.5,,5.2,,1.4,,1,,85.7,,86.3,,34.3,,36.6,,52.7,,51.4,,1.9,,2.1,,1.05,,1.06,
7,Ireland,Ranked Country,IRL,4.6,,5.4,,1.8,,1.1,,59.1,,62.5,,32.5,,34.7,,49.2,,50.8,,1.9,,2.1,,1.07,,1.07,
7,Sweden,Ranked Country,SWE,9.5,,10.4,,0.4,,0.6,,84,,85.4,,39.4,,40.7,,55.3,,55.5,,1.6,,1.9,,1.06,,1.06,
9,Switzerland,Ranked Country,CHE,7.7,,8.1,,0.7,,0.4,,73.3,,73.8,,38.6,,41.4,,48.7,,47.9,,1.4,,1.5,,1.05,,1.05,
10,Japan,Ranked Country,JPN,126.4,,120.2,,0.1,,-0.1,,78.6,,91.9,,41.3,,44.7,,46.6,,59.6,,1.3,,1.4,,1.06,,1.06,
11,Canada,Ranked Country,CAN,34.7,,39.8,,1,,0.9,,79.5,,80.8,,36.8,,39.9,,46.3,,45.1,,1.5,,1.7,,1.05,,1.06,
12,Korea (Republic of),Ranked Country,KOR,48.6,,50.3,,0.5,,0.4,,79.6,,83.5,,32.1,,37.9,,39.5,,38,,1.3,,1.4,,1.1,,1.1,
13,"Hong Kong, China (SAR)",Ranked Country,HKG,7.2,,8.5,,0.1,,1,,100,,100,,36.5,,41.8,,39.3,,32.3,,0.8,,1.1,,1.07,,1.07,
13,Iceland,Ranked Country,ISL,0.3,,0.4,,1.1,,1.2,,92.4,,93.8,,32.8,,34.8,,53.5,,49.6,,2,,2.1,,1.04,,1.05,
15,Denmark,Ranked Country,DNK,5.6,,5.9,,0.3,,0.3,,85.1,,87.1,,38.4,,40.6,,50,,54.1,,1.8,,1.9,,1.06,,1.06,
16,Israel,Ranked Country,ISR,7.7,,9.8,,1.9,,1.7,,91.2,,91.9,,28,,30.1,,61.6,,61.6,,2.9,,2.9,,1.05,,1.05,
17,Belgium,Ranked Country,BEL,10.8,,11.2,,0.5,,0.3,,97.1,,97.5,,39.1,,41.2,,51.6,,53.3,,1.6,,1.8,,1.05,,1.05,
18,Austria,Ranked Country,AUT,8.4,,8.6,,0.6,,0.2,,65.8,,67.9,,38.2,,41.8,,48,,48.1,,1.4,,1.3,,1.06,,1.06,
18,Singapore,Ranked Country,SGP,5.3,,6,,1.7,,1.1,,100,,100,,34.1,,37.6,,40.5,,35.4,,1.4,,1.3,,1.07,,1.07,
20,France,Ranked Country,FRA,63.5,,68.5,,0.6,,0.5,,76.9,,86.4,,37.7,,39.9,,53.6,,55.7,,1.8,,2,,1.05,,1.05,
21,Finland,Ranked Country,FIN,5.4,,5.6,,0.3,,0.3,,82.2,,83.8,,39.3,,42,,49.3,,53.5,,1.7,,1.9,,1.05,,1.05,
21,Slovenia,Ranked Country,SVN,2,,2.1,,0.2,,0.2,,50.8,,49.8,,38,,41.7,,42.7,,45,,1.2,,1.5,,1.05,,1.05,
23,Spain,Ranked Country,ESP,46.8,g,50,g,1.5,g,0.6,g,76.3,,77.6,,37.6,,40.1,,46.3,,48.4,,1.2,,1.5,,1.06,,1.06,
24,Liechtenstein,Ranked Country,LIE,0,,0,,1.1,,0.8,,15.1,,14.3,,..,,..,,..,,..,,..,,..,,..,,..,
25,Italy,Ranked Country,ITA,61,,60.9,,0.6,,0.2,,67.2,,68.5,,40.2,,43.2,,48.3,,53.8,,1.2,,1.5,,1.06,,1.06,
26,Luxembourg,Ranked Country,LUX,0.5,,0.6,,1,,1.4,,83.8,,85.7,,37.3,,38.9,,49.1,,46.1,,1.7,,1.7,,1.06,,1.06,
26,United Kingdom,Ranked Country,GBR,62.8,,69.3,,0.4,,0.6,,78.7,,79.7,,37.7,,39.8,,53.4,,52.7,,1.7,,1.9,,1.05,,1.05,
28,Czech Republic,Ranked Country,CZE,10.6,,10.8,,0,,0.3,,74,,73.4,,37.4,,39.4,,43.7,,42.9,,1.1,,1.5,,1.06,,1.06,
29,Greece,Ranked Country,GRC,11.4,,11.6,,0.4,,0.2,,59.7,,61.7,,38.3,,41.4,,47.1,,50.6,,1.3,,1.5,,1.07,,1.07,
30,Brunei Darussalam,Ranked Country,BRN,0.4,,0.5,,2.1,,1.7,,71.2,,76.4,,25.8,,28.9,,49.8,,41.6,,2.4,,2,,1.06,,1.06,
31,Cyprus,Ranked Country,CYP,1.1,,1.3,,1.8,,1.1,,68.6,,70.7,,31.8,,34.2,,48.4,,41.4,,1.7,,1.5,,1.07,,1.07,
32,Malta,Ranked Country,MLT,0.4,,0.4,,0.6,,0.3,,92.4,,95,,36.1,,39.5,,46.6,,42.1,,1.6,,1.3,,1.06,,1.06,
33,Andorra,Ranked Country,AND,0.1,,0.1,,3.7,,1.5,,92.4,,86.7,,..,,..,,..,,..,,..,,..,,..,,..,
33,Estonia,Ranked Country,EST,1.3,,1.3,,-0.4,,-0.1,,69.4,,69.5,,37.9,,39.7,,49.8,,50,,1.3,,1.7,,1.06,,1.06,
35,Slovakia,Ranked Country,SVK,5.5,,5.5,,0,,0.2,,56.2,,54.7,,33.6,,36.9,,45.4,,37.9,,1.3,,1.4,,1.05,,1.05,
36,Qatar,Ranked Country,QAT,1.9,,2.4,,6.6,,2.9,,96.3,,98.9,,30.3,,31.6,,38.4,,18.3,,3.1,,2.2,,1.05,,1.04,
37,Hungary,Ranked Country,HUN,9.9,,9.6,,-0.2,,-0.2,,64.6,,69.9,,38.5,,39.8,,46.8,,46.2,,1.3,,1.4,,1.06,,1.06,
38,Barbados,Ranked Country,BRB,0.3,,0.3,,0.2,,0.2,,38.3,,44.9,,33.6,,37.5,,50.3,,40,,1.6,,1.6,,1.04,,1.04,
39,Poland,Ranked Country,POL,38.3,,37.8,,-0.1,,0,,61.7,,60.8,,35.3,,38,,46.3,,40.5,,1.3,,1.4,,1.06,,1.06,
40,Chile,Ranked Country,CHL,17.4,,19.5,,1.1,,0.9,,85.9,,89.4,,28.8,,32.1,,54,,45.2,,2.1,,1.8,,1.04,,1.04,
41,Lithuania,Ranked Country,LTU,3.3,,3.1,,-0.5,,-0.4,,67,,67.2,,35.9,,39.3,,51.2,,44.9,,1.3,,1.5,,1.06,,1.05,
41,United Arab Emirates,Ranked Country,ARE,8.1,,10.5,,5.9,,2.2,,80.2,,84.7,,28.1,,30.1,,36.3,,20.9,,2.6,,1.7,,1.05,,1.05,
43,Portugal,Ranked Country,PRT,10.7,,10.3,,0.4,,0,,54.4,,61.6,,37.7,,41,,47.8,,50,,1.5,,1.3,,1.06,,1.06,
